id_thermometre;Temp;RH;WB;DP;date_rel;heure_rel
S10;21.1;47.3;14.8;9.5;2019-04-30;14:30:52
S10;23.3;43.1;16.0;10.1;2019-04-30;15:30:52
S10;18.8;48.3;13.0;7.7;2019-04-30;16:30:52
S10;17.5;49.6;12.1;6.9;2019-04-30;17:30:52
S10;16.9;49.3;11.6;6.2;2019-04-30;18:30:52
S10;15.5;57.8;11.3;7.2;2019-04-30;19:30:52
S10;14.0;65.0;10.7;7.5;2019-04-30;20:30:52
S10;12.1;70.8;9.5;7.0;2019-04-30;21:30:52
S10;10.7;77.7;8.8;7.0;2019-04-30;22:30:52
S10;9.6;81.1;8.1;6.5;2019-04-30;23:30:52
S10;8.2;85.2;7.1;5.9;2019-05-01;00:30:52
S10;7.2;88.3;6.3;5.4;2019-05-01;01:30:52
S10;6.6;89.4;5.8;5.0;2019-05-01;02:30:52
S10;6.0;89.4;5.2;4.4;2019-05-01;03:30:52
S10;5.5;90.0;4.8;4.0;2019-05-01;04:30:52
S10;5.2;89.7;4.5;3.7;2019-05-01;05:30:52
S10;4.8;90.2;4.1;3.3;2019-05-01;06:30:52
S10;5.2;91.0;4.6;3.9;2019-05-01;07:30:52
S10;6.8;93.4;6.3;5.8;2019-05-01;08:30:52
S10;9.4;88.7;8.5;7.6;2019-05-01;09:30:52
S10;11.2;85.1;9.9;8.8;2019-05-01;10:30:52
S10;13.1;75.9;10.9;9.0;2019-05-01;11:30:52
S10;13.6;71.3;10.9;8.5;2019-05-01;12:30:52
S10;14.9;65.7;11.5;8.5;2019-05-01;13:30:52
S10;16.0;63.5;12.3;9.1;2019-05-01;14:30:52
S10;15.8;63.5;12.1;8.9;2019-05-01;15:30:52
S10;15.7;64.4;12.1;9.0;2019-05-01;16:30:52
S10;15.1;65.1;11.6;8.6;2019-05-01;17:30:52
S10;14.5;66.0;11.2;8.2;2019-05-01;18:30:52
S10;14.0;70.0;11.1;8.6;2019-05-01;19:30:52
S10;13.0;75.1;10.7;8.7;2019-05-01;20:30:52
S10;11.9;76.0;9.8;7.8;2019-05-01;21:30:52
S10;11.2;80.3;9.5;7.9;2019-05-01;22:30:52
S10;10.6;81.5;9.0;7.6;2019-05-01;23:30:52
S10;10.1;84.8;8.8;7.7;2019-05-02;00:30:52
S10;9.4;88.1;8.4;7.5;2019-05-02;01:30:52
S10;8.8;89.4;8.0;7.2;2019-05-02;02:30:52
S10;8.8;90.4;8.0;7.3;2019-05-02;03:30:52
S10;8.7;91.0;8.0;7.3;2019-05-02;04:30:52
S10;8.8;93.1;8.3;7.7;2019-05-02;05:30:52
S10;9.2;93.3;8.7;8.2;2019-05-02;06:30:52
S10;9.2;94.3;8.7;8.3;2019-05-02;07:30:52
S10;9.5;94.4;9.0;8.6;2019-05-02;08:30:52
S10;9.8;95.0;9.4;9.0;2019-05-02;09:30:52
S10;10.5;95.3;10.1;9.8;2019-05-02;10:30:52
S10;10.6;93.0;10.0;9.5;2019-05-02;11:30:52
S10;10.8;90.9;10.0;9.4;2019-05-02;12:30:52
S10;11.2;88.0;10.2;9.3;2019-05-02;13:30:52
S10;12.9;73.4;10.5;8.3;2019-05-02;14:30:52
S10;15.2;61.3;11.4;7.8;2019-05-02;15:30:52
S10;14.0;60.0;10.2;6.4;2019-05-02;16:30:52
S10;13.8;58.6;9.9;5.8;2019-05-02;17:30:52
