id_group_forestier;id_arbre;date_relever_houppier;indice_fructification;fruits_sol;date_relever_sol;carre_N;carre_S;carre_E;carre_O;carre_TOTAL;carre_poids_gramme
P;P1;2018-09-10;0;2;2018-10-03;;;;;;
P;P2;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
P;P3;2018-09-10;0;2;2018-10-03;;;;;;
P;P4;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
P;S1;2018-09-10;1;2;2018-10-03;;;;;;
P;S2;2018-09-10;1;2;2018-10-03;11;4;1;0;16;30
P;S3;2018-09-10;1;2;2018-10-03;6;1;1;7;15;20
P;S4;2018-09-10;2;1;2018-10-03;;;;;;
P;H1;2018-09-10;3;1;2018-10-03;;;;;;
P;H2;2018-09-10;4;1;2018-10-03;35;30;50;17;132;20
P;H3;2018-09-10;1;2;2018-10-03;;;;;;
P;H4;2018-09-10;2;1;2018-10-03;2;8;10;12;32;15
D;P5;2018-09-10;0;2;2018-10-03;;;;;;
D;P6;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
D;P7;2018-09-10;0;2;2018-10-03;;;;;;
D;P8;2018-09-10;3;1;2018-10-03;17;13;5;10;45;130
D;P9;2018-09-10;0;2;2018-10-03;;;;;;
D;P10;2018-09-10;0;2;2018-10-03;;;;;;
D;P11;2018-09-10;0;2;2018-10-03;;;;;;
D;P12;2018-09-10;1;2;2018-10-03;8;0;6;4;18;50
D;P13;2018-09-10;0;2;2018-10-03;;;;;;
D;P14;2018-09-10;0;2;2018-10-03;;;;;;
D;P15;2018-09-10;3;1;2018-10-03;;;;;;
D;S5;2018-09-10;1;2;2018-10-03;4;1;3;0;8;25
D;S6;2018-09-10;4;1;2018-10-03;;;;;;
D;S7;2018-09-10;4;1;2018-10-03;;;;;;
D;S8;2018-09-10;4;1;2018-10-03;;;;;;
D;S9;2018-09-10;4;1;2018-10-03;30;33;17;12;92;275
D;S25;2018-09-10;1;2;2018-10-03;;;;;;
D;S26;2018-09-10;4;1;2018-10-03;;;;;;
D;S27;2018-09-10;1;2;2018-10-03;;;;;;
D;H5;2018-09-10;1;2;2018-10-03;;;;;;
D;H6;2018-09-10;3;1;2018-10-03;16;7;10;13;46;10
D;H7;2018-09-10;4;1;2018-10-03;;;;;;
D;H9;2018-09-10;1;2;2018-10-03;0;0;0;0;0;0
D;H10;2018-09-10;4;1;2018-10-03;;;;;;
D;H28;2018-09-10;4;1;2018-10-03;;;;;;
D;H29;2018-09-10;3;1;2018-10-03;12;17;16;7;52;15
D;H30;2018-09-10;4;1;2018-10-03;;;;;;
B;P16;2018-09-10;0;2;2018-10-03;;;;;;
B;P17;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
B;P18;2018-09-10;0;2;2018-10-03;;;;;;
B;P19;2018-09-10;1;2;2018-10-03;0;0;0;0;0;0
B;P21;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
B;P22;2018-09-10;0;2;2018-10-03;;;;;;
B;P23;2018-09-10;0;2;2018-10-03;;;;;;
B;P25;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
B;P26;2018-09-10;1;2;2018-10-03;;;;;;
B;P27;2018-09-10;0;2;2018-10-03;;;;;;
B;S10;2018-09-10;1;2;2018-10-03;;;;;;
B;S11;2018-09-10;3;1;2018-10-03;;;;;;
B;S12;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
B;S13;2018-09-10;1;2;2018-10-03;;;;;;
B;S14;2018-09-10;1;2;2018-10-03;2;2;1;3;8;15
B;S15;2018-09-10;1;2;2018-10-03;;;;;;
B;S28;2018-09-10;4;1;2018-10-03;16;20;10;17;63;130
B;S29;2018-09-10;4;1;2018-10-03;24;15;14;22;75;255
B;S31;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
B;S30;2018-09-10;4;1;2018-10-03;;;;;;
B;H11;2018-09-10;4;2;2018-10-03;;;;;;
B;H12;2018-09-10;4;1;2018-10-03;66;35;29;11;141;40
B;H13;2018-09-10;4;1;2018-10-03;;;;;;
B;H14;2018-09-10;3;1;2018-10-03;;;;;;
B;H15;2018-09-10;4;1;2018-10-03;13;41;29;13;96;20
B;H16;2018-09-10;0;1;2018-10-03;0;0;0;0;0;0
B;H25;2018-09-10;3;2;2018-10-03;;;;;;
B;H26;2018-09-10;3;1;2018-10-03;;;;;;
B;H27;2018-09-10;4;1;2018-10-03;15;23;37;45;120;35
E;P28;2018-09-10;1;2;2018-10-03;0;0;0;0;0;0
E;P29;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
E;P30;2018-09-10;0;2;2018-10-03;0;0;0;0;0;0
E;P31;2018-09-10;0;2;2018-10-03;;;;;;
E;P32;2018-09-10;0;2;2018-10-03;;;;;;
E;S16;2018-09-10;1;2;2018-10-03;;;;;;
E;S17;2018-09-10;1;2;2018-10-03;;;;;;
E;S18;2018-09-10;0;2;2018-10-03;;;;;;
E;S19;2018-09-10;1;2;2018-10-03;4;5;4;7;20;25
E;S20;2018-09-10;1;2;2018-10-03;2;3;1;2;8;10
E;S21;2018-09-10;0;2;2018-10-03;;;;;;
E;S22;2018-09-10;4;1;2018-10-03;;;;;;
E;S23;2018-09-10;4;1;2018-10-03;18;17;19;23;77;185
E;S24;2018-09-10;1;2;2018-10-03;0;0;0;0;0;0
E;H17;2018-09-10;1;2;2018-10-03;0;0;0;0;0;0
E;H18;2018-09-10;3;1;2018-10-03;;;;;;
E;H19;2018-09-10;1;2;2018-10-03;0;0;0;0;0;0
E;H20;2018-09-10;2;2;2018-10-03;;;;;;
E;H21;2018-09-10;2;2;2018-10-03;;;;;;
E;H22;2018-09-10;2;2;2018-10-03;9;12;14;11;46;15
E;H23;2018-09-10;3;1;2018-10-03;;;;;;
E;H24;2018-09-10;2;1;2018-10-03;;;;;;
P;P0;2019-08-26;0;2;2019-10-22;50;43;34;23;150;325
P;P01;2019-08-26;0;2;2019-10-22;;;;;;
P;P02;2019-08-26;0;2;2019-10-22;0;0;0;0;0;0
P;P1;2019-08-26;0;2;2019-10-22;;;;;;
P;P2;2019-08-26;0;2;2019-10-22;2;3;3;3;11;20
P;P3;2019-08-26;1;2;2019-10-22;;;;;;
P;P4;2019-08-26;0;2;2019-10-22;0;0;0;0;0;0
P;S0;2019-08-26;0;2;2019-10-22;;;;;;
P;S01;2019-08-26;0;2;2019-10-22;18;11;14;21;64;125
P;S1;2019-08-26;1;2;2019-10-22;;;;;;
P;S2;2019-08-26;1;2;2019-10-22;0;4;1;1;6;15
P;S3;2019-08-26;0;2;2019-10-22;11;13;5;11;40;70
P;S4;2019-08-26;0;2;2019-10-22;;;;;;
P;H0;2019-08-26;1;1;2019-10-22;;;;;;
P;H01;2019-08-26;1;2;2019-10-22;0;0;0;0;0;0
P;H1;2019-08-26;1;1;2019-10-22;;;;;;
P;H2;2019-08-26;1;1;2019-10-22;0;0;0;0;0;0
P;H3;2019-08-26;1;2;2019-10-22;;;;;;
P;H4;2019-08-26;1;2;2019-10-22;15;15;12;7;49;15
D;P5;2019-08-26;0;2;2019-10-22;;;;;;
D;P6;2019-08-26;1;1;2019-10-22;0;0;0;0;0;0
D;P7;2019-08-26;0;2;2019-10-22;;;;;;
D;P8;2019-08-26;2;1;2019-10-22;0;11;7;14;32;65
D;P9;2019-08-26;2;1;2019-10-22;;;;;;
D;P10;2019-08-26;0;2;2019-10-22;;;;;;
D;P11;2019-08-26;1;1;2019-10-22;;;;;;
D;P12;2019-08-26;2;1;2019-10-22;11;12;9;16;48;100
