id_meteo;Temp;Annee_mois;Vent
1;6.3;2018-01-01;25
2;1.9;2018-02-01;21
3;6.7;2018-03-01;23
4;12.6;2018-04-01;19
5;15.3;2018-05-01;16
6;18.2;2018-06-01;16
7;22.3;2018-07-01;14
8;20.3;2018-08-01;16
9;15.9;2018-09-01;17
10;12.7;2018-10-01;19
11;7.3;2018-11-01;20
12;6.5;2018-12-01;21
13;3.8;2019-01-01;18
14;6.6;2019-02-01;18
15;8.9;2019-03-01;24
16;10.2;2019-04-01;17
17;12.1;2019-05-01;17
18;18;2019-06-01;18
19;20.3;2019-07-01;16
20;19.5;2019-08-01;16
21;16.3;2019-09-01;20
22;12.8;2019-10-01;22
23;7.8;2019-11-01;21
24;6.3;2019-12-01;22
25;6;2020-01-01;22
26;8.1;2020-02-01;31
27;7.9;2020-03-01;23
28;13.1;2020-04-01;17
29;14.1;2020-05-01;19
30;17.1;2020-06-01;19
31;19;2020-07-01;18
32;21;2020-08-01;18
33;17.4;2020-09-01;17
34;11.8;2020-10-01;24
35;9.2;2020-11-01;18
36;6.3;2020-12-01;23
